タイトル,当期全世界計,国内,海外,累計全世界計
Splatoon（スプラトゥーン）,427,149,278,427
スーパーマリオメーカー,352,93,259,352
マリオカート８,239,25,214,750
ヨッシー ウールワールド,137,13,125,137
大乱闘スマッシュブラザーズ for Wii U,115,14,101,480
