タイトル,当期全世界計,国内,海外,累計全世界計
スーパーマリオ 3Dワールド,217,59,158,217
New スーパーマリオブラザーズ U,201,67,134,416
New スーパールイージ U,176,14,162,176
Wii Party U,135,81,54,135
ゼルダの伝説 風のタクト HD,122,9,113,122
