タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,2415,54,2361,4571
Wii Fit,1637,158,1480,1822
マリオカートWii,1540,230,1310,1540
はじめてのWii,1147,33,1114,2298
大乱闘スマッシュブラザーズX,358,25,333,843
街へいこうよ どうぶつの森,338,122,216,338
Wii Music,265,42,222,265
リンクのボウガントレーニング＋Wiiザッパー,205,25,180,376
スーパーマリオギャラクシー,192,5,187,802
マリオパーティ8,186,13,173,672
スーパーマリオスタジアム ファミリーベースボール,126,23,102,126
