タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,239,1,238,8199
マリオパーティ9,188,70,117,287
マリオカートWii,182,14,168,3426
Wii Sports Resort,176,26,149,3189
New スーパーマリオブラザーズ Wii,162,14,148,2788
スーパーマリオギャラクシー,105,0,104,1172
