タイトル,当期全世界計,国内,海外,累計全世界計
マリオカートWii,953,185,767,953
Wii Sports,932,25,906,3087
Wii Fit,692,91,601,876
はじめてのWii,464,14,450,1615
大乱闘スマッシュブラザーズX,261,12,249,747
リンクのボウガントレーニング＋Wiiザッパー,105,25,80,275
