タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports Resort,697,134,563,697
Wii Sports,483,8,475,5054
Wii Fit,428,18,410,2250
マリオカートWii,296,16,280,1836
Wii Fit Plus,213,48,165,213
はじめてのWii,145,4,141,2443
