タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,1775,16,1759,6346
Wii Sports Resort,1614,191,1423,1614
New スーパーマリオブラザーズ Wii,1470,366,1104,1470
Wii Fit Plus,1265,193,1073,1265
マリオカートWii,715,43,673,2255
はじめてのWii,440,12,428,2738
Wii Fit,438,18,421,2261
大乱闘スマッシュブラザーズX,104,14,90,948
リンクのボウガントレーニング＋Wiiザッパー,104,0,104,480
