タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,1258,127.0,1131.0,1785
はじめてのWii,661,101.0,560.0,923
スーパーマリオギャラクシー,519,84.0,435.0,519
マリオパーティ8,435,118.0,317.0,435
スーパーペーパーマリオ,216,50.0,166.0,216
Wiiでやわらかあたま塾,200,38.0,162.0,200
マリオストライカーズ チャージド,165,24.0,141.0,165
メトロイドプライム3 コラプション,114,,114.0,114
リンクのボウガントレーニング＋Wiiザッパー,107,,107.0,107
Wii Fit,105,105.0,,105
ゼルダの伝説 トワイライトプリンセス,103,0.0,103.0,430
