タイトル,当期全世界計,国内,海外,累計全世界計
マリオカートWii,543,37,507,3244
New スーパーマリオブラザーズ Wii,432,18,414,2626
ゼルダの伝説 スカイウォードソード,352,36,315,352
Wii Sports,284,2,283,7960
Wii Sports Resort,246,67,178,3014
Wii Party,217,50,167,794
Wii Fit Plus,200,15,184,2048
スーパーマリオギャラクシー,136,0,136,1068
星のカービィ Wii,131,67,64,131
Wiiリモコンプラス バラエティパック,126,16,110,126
