タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,527,143,384,527
ゼルダの伝説 トワイライトプリンセス,327,56,271,327
はじめてのWii,262,121,141,262
おどる メイドインワリオ,169,72,97,169
