タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,1219,4,1215,7566
Wii Sports Resort,1021,38,983,2635
New スーパーマリオブラザーズ Wii,658,62,595,2128
スーパーマリオギャラクシー2,615,102,514,615
Wii Fit Plus,509,34,475,1774
Wii Party,507,181,326,507
ドンキーコング リターンズ,421,75,347,421
マリオカートWii,395,51,344,2650
スーパーマリオコレクション スペシャルパック,195,94,101,195
毛糸のカービィ,138,49,90,138
