タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,1498,11,1487,6069
Wii Sports Resort,1358,176,1182,1358
New スーパーマリオブラザーズ Wii,1055,273,783,1055
Wii Fit Plus,1016,153,864,1016
マリオカートWii,582,33,549,2122
Wii Fit,434,18,416,2256
はじめてのWii,373,8,365,2671
