タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,1895,47,1848,4050
マリオカートWii,1367,222,1146,1367
Wii Fit,1216,138,1079,1401
はじめてのWii,940,30,909,2091
大乱闘スマッシュブラザーズX,324,21,304,810
街へいこうよ どうぶつの森,322,122,200,322
Wii Music,250,42,208,250
リンクのボウガントレーニング＋Wiiザッパー,174,25,149,344
スーパーマリオギャラクシー,156,4,151,766
マリオパーティ8,142,10,131,628
スーパーマリオスタジアム ファミリーベースボール,121,22,98,121
