タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,1629,159.0,1470,2156
はじめてのWii,889,122.0,766,1151
スーパーマリオギャラクシー,610,93.0,517,610
マリオパーティ8,486,126.0,360,486
大乱闘スマッシュブラザーズX,485,161.0,324,485
スーパーペーパーマリオ,227,50.0,178,228
Wiiでやわらかあたま塾,226,38.0,188,226
Wii Fit,185,185.0,0,185
マリオストライカーズ チャージド,177,24.0,153,177
リンクのボウガントレーニング＋Wiiザッパー,171,,171,171
メトロイドプライム3 コラプション,131,8.0,123,131
ゼルダの伝説 トワイライトプリンセス,125,1.0,123,452
