タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,204,1,204,8164
マリオパーティ9,174,69,105,273
マリオカートWii,157,13,144,3401
Wii Sports Resort,140,24,116,3154
New スーパーマリオブラザーズ Wii,135,12,123,2761
