タイトル,当期全世界計,国内,海外,累計全世界計
ゼルダの伝説 ティアーズ オブ ザ キングダム,2028,364,1664,2028
Super Mario Bros. Wonder,1196,254,943,1196
マリオカート８ デラックス,679,77,603,6058
Pikmin 4,333,182,151,333
スーパーマリオRPG,314,84,230,314
Nintendo Switch Sports,288,28,260,1248
あつまれ どうぶつの森,258,49,209,4479
大乱闘スマッシュブラザーズ SPECIAL,257,52,206,3367
ポケットモンスター スカーレット・バイオレット,226,69,156,2436
マリオパーティ スーパースターズ,214,34,180,1231
スーパーマリオ オデッセイ,190,20,170,2765
ゼルダの伝説 ブレス オブ ザ ワイルド,180,30,150,3161
スーパーマリオ ３Ｄワールド＋フューリーワールド,179,15,164,1317
New スーパーマリオブラザーズ U デラックス,178,15,163,1720
スーパー マリオパーティ,120,18,102,2034
ルイージマンション３,115,14,102,1398
スプラトゥーン３,104,45,60,1171
