タイトル,当期全世界計,国内,海外,累計全世界計
ゼルダの伝説 スカイウォードソード HD,360,42,318,360
マリオカート８ デラックス,334,46,289,3874
あつまれ どうぶつの森,222,25,197,3485
New ポケモンスナップ,219,0,219,219
リングフィット アドベンチャー,210,52,158,1221
マリオゴルフ スーパーラッシュ,194,29,165,194
大乱闘スマッシュブラザーズ SPECIAL,186,33,153,2571
スーパーマリオ ３Ｄワールド + フューリーワールド,186,36,150,745
ゼルダの伝説 ブレス オブ ザ ワイルド,185,16,170,2413
スーパーマリオパーティ,168,22,147,1648
ポケットモンスター ソード・シールド,154,19,135,2264
ミートピア,137,35,102,137
スーパーマリオ オデッセイ,112,8,103,2195
New スーパーマリオブラザーズ U デラックス,103,8,96,1148
