タイトル,当期全世界計,国内,海外,累計全世界計
スーパーマリオ オデッセイ,1041,191,850,1041
マリオカート８ デラックス,922,168,754,922
Splatoon 2,602,261,341,602
ゼルダの伝説 ブレス オブ ザ ワイルド,572,70,501,848
ARMS,185,47,138,185
1-2-Switch,134,32,103,229
ゼノブレイド２,131,31,101,131
星のカービィ スターアライズ,126,50,75,126
ポッ拳 ポッケン トーナメント DX*,116,,116,116
