タイトル,当期全世界計,国内,海外,累計全世界計
あつまれ　どうぶつの森,1941,535,1405,3118
マリオカート8 デラックス,864,103,761,3341
スーパーマリオ 3Dコレクション,832,88,744,832
リングフィット アドベンチャー,595,158,437,868
ゼルダの伝説　ブレス オブ ザ ワイルド,404,36,368,2145
大乱闘スマッシュブラザーズ SPECIAL,401,74,327,2285
スーパーマリオパーティ,372,51,321,1382
New スーパーマリオブラザーズU デラックス,322,24,298,982
ペーパーマリオ　オリガミキング,305,47,257,305
ポケットモンスター ソード・シールド,298,47,250,2035
ゼルダ無双 厄災の黙示録,284,,284,284
スーパーマリオ オデッセイ,281,16,265,2023
ルイージマンション3,281,15,266,913
世界のアソビ大全51,262,103,160,262
ピクミン3 デラックス,194,82,112,194
Splatoon 2,177,66,111,1190
Xenoblade Definitive Edition,148,32,116,148
スーパーマリオメーカー2,143,24,119,691
マリオカート ライブ ホームサーキット,108,21,87,108
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,103,8,95,1300
