タイトル,当期全世界計,国内,海外,累計全世界計
ポケットモンスター ソード・シールド,1606,421,1185,1606
マリオカート8 デラックス,627,68,559,2296
ルイージマンション3,537,73,465,537
スーパーマリオメーカー 2,504,112,392,504
ゼルダの伝説 夢をみる島,419,42,377,419
大乱闘スマッシュブラザーズ SPECIAL,387,69,318,1768
ゼルダの伝説 ブレス オブ ザ ワイルド,356,35,321,1634
スーパー マリオパーティ,272,46,226,912
ファイアーエムブレム 風花雪月,258,53,204,258
New スーパーマリオブラザーズ U デラックス,254,26,228,585
リングフィット アドベンチャー,217,63,154,217
スーパーマリオ オデッセイ,215,16,199,1659
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,113,12,100,1176
Splatoon 2,110,34,76,981
ASTRAL CHAIN,103,16,87,103
MARVEL ULTIMATE ALLIANCE 3: The Black Order,102,4,98,102
