タイトル,当期全世界計,国内,海外,累計全世界計
New ポケモンスナップ,207,,207,207
マリオカート 8 デラックス,169,20,150,3708
マリオゴルフ スーパーラッシュ,134,21,113,134
あつまれ　どうぶつの森,126,13,113,3389
リングフィット アドベンチャー,115,25,89,1126
スーパーマリオ 3Dワールド + フューリーワールド,109,21,87,668
ミートピア,104,26,78,104
