タイトル,当期全世界計,国内,海外,累計全世界計
ゼルダの伝説 知恵のかりもの,258,48,210,258
マリオカート８ デラックス,231,35,195,6427
ペーパーマリオRPG,194,43,151,194
ルイージマンション２ HD,157,31,127,157
Nintendo Switch Sports,126,27,98,1437
あつまれ どうぶつの森,109,33,76,4645
