タイトル,当期全世界計,国内,海外,累計全世界計
ポケットモンスター ソード・シールド,1737,452,1285,1737
あつまれ どうぶつの森,1177,384,793,1177
マリオカート8 デラックス,808,93,715,2477
ルイージマンション３,633,83,550,633
スーパーマリオメーカー2,548,116,432,548
大乱闘スマッシュブラザーズ SPECIAL,503,90,413,1884
ゼルダの伝説 ブレス オブ ザ ワイルド,464,45,418,1741
ゼルダの伝説 夢をみる島,438,43,395,438
スーパーマリオパーティ,370,62,309,1010
New スーパーマリオブラザーズU デラックス,329,33,296,660
スーパーマリオ オデッセイ,297,21,275,1741
ファイアーエムブレム 風花雪月,287,58,229,287
リングフィット アドベンチャー,273,89,184,273
Splatoon2,143,45,98,1013
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,134,14,120,1197
ポケモン不思議のダンジョン 救助隊DX,126,36,89,126
MARVEL ULTIMATE ALLIANCE 3: The Black Order,108,4,104,108
ASTRAL CHAIN,108,16,91,108
