タイトル,当期全世界計,国内,海外,累計全世界計
スーパーマリオメーカー2,393,88,305,393
ゼルダの伝説 夢をみる島,313,35,278,313
マリオカート8 デラックス,232,34,199,1901
ファイアーエムブレム 風花雪月,229,48,182,229
大乱闘スマッシュブラザーズ SPECIAL,190,37,153,1571
ゼルダの伝説 ブレス オブ ザ ワイルド,176,22,154,1454
New スーパーマリオブラザーズU デラックス,128,17,111,459
スーパーマリオパーティ,120,18,102,759
