タイトル,当期全世界計,国内,海外,累計全世界計
マリオカート8 デラックス,249,40,209,1171
マリオテニス エース,216,46,170,216
ゼルダの伝説 ブレス オブ ザ ワイルド,181,20,161,1028
スーパーマリオ オデッセイ,176,15,162,1217
ドンキーコング トロピカルフリーズ,167,26,141,167
Splatoon2,145,47,98,747
