タイトル,当期全世界計,国内,海外,累計全世界計
Splatoon3,790,501,289,790
Nintendo Switch Sports,615,123,491,615
マリオカート8 デラックス,307,59,248,4841
星のカービィ ディスカバリー,261,60,202,527
マリオストライカーズ バトルリーグ,217,15,201,217
ゼノブレイド3,172,48,124,172
あつまれ どうぶつの森,153,26,127,4017
大乱闘スマッシュブラザーズ SPECIAL,135,28,107,2953
Pokmon LEGENDS アルセウス,128,12,115,1391
ゼルダの伝説 ブレス オブ ザ ワイルド,122,22,100,2779
マリオパーティ スーパースターズ,119,19,100,807
