タイトル,当期全世界計,国内,海外,累計全世界計
スーパーマリオ オデッセイ,1041,191.0,850,1041
マリオカート8 デラックス,922,168.0,754,922
Splatoon2,602,261.0,341,602
ゼルダの伝説 ブレス オブ ザ ワイルド,572,70.0,501,848
ARMS,185,47.0,138,185
1-2-Switch,134,32.0,103,229
ゼノブレイド2,131,31.0,101,131
星のカービィ スターアライズ,126,50.0,75,126
ポッ拳 ポッケン トーナメント DX,116,,116,116
