タイトル,当期全世界計,国内,海外,累計全世界計
大乱闘スマッシュブラザーズ SPECIAL,1208,317,892,1208
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,1000,185,816,1000
マリオカート8 デラックス,580,71,509,1502
スーパーマリオパーティ,530,105,425,530
スーパーマリオ オデッセイ,335,29,306,1376
ゼルダの伝説 ブレス オブ ザ ワイルド,321,37,284,1168
マリオテニス エース,253,52,200,253
Splatoon2,225,72,153,827
ドンキーコング トロピカルフリーズ,208,28,179,208
星のカービィ スターアライズ,116,33,83,242
OCTOPATH TRAVELER,108,0,108,108
Nintendo Labo Toy-Con 01: Variety Kit,106,32,74,106
進め! キノピオ隊長,105,23,83,105
