タイトル,当期全世界計,国内,海外,累計全世界計
マリオカート8 デラックス,442,87,356,442
Splatoon2,361,156,205,361
ゼルダの伝説 ブレス オブ ザ ワイルド,193,29,165,470
ARMS,135,30,105,135
