タイトル,当期全世界計,国内,海外,累計全世界計
大乱闘スマッシュブラザーズ SPECIAL,1381,353.0,1028,1381
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,1063,193.0,870,1063
マリオカート8 デラックス,747,89.0,657,1669
スーパーマリオパーティ,640,122.0,518,640
ゼルダの伝説 ブレス オブ ザ ワイルド,430,47.0,383,1277
スーパーマリオ オデッセイ,404,34.0,370,1444
New スーパーマリオブラザーズU デラックス,331,69.0,263,331
Splatoon2,269,83.0,186,870
マリオテニス エース,264,55.0,209,264
ドンキーコング トロピカルフリーズ,225,29.0,196,225
星のカービィ スターアライズ,130,36.0,94,256
進め! キノピオ隊長,118,24.0,94,118
OCTOPATH TRAVELER,117,,117,117
ヨッシークラフトワールド,111,14.0,96,111
Nintendo Labo Toy-Con 01: Variety Kit,109,33.0,76,109
