タイトル,当期全世界計,国内,海外,累計全世界計
ポケットモンスター スカーレット・バイオレット,2061,694,1367,2061
Splatoon3,1013,632,380,1013
Nintendo Switch Sports,861,159,702,861
マリオカート8 デラックス,666,95,571,5200
星のカービィ ディスカバリー,347,77,270,612
あつまれ どうぶつの森,295,43,252,4159
マリオパーティ スーパースターズ,250,34,216,938
マリオストライカーズ バトルリーグ,247,17,230,247
ゼルダの伝説 ブレス オブ ザ ワイルド,243,34,209,2900
大乱闘スマッシュブラザーズ SPECIAL,227,48,179,3044
Pokmon LEGENDS アルセウス,199,16,183,1463
ゼノブレイド3,181,50,131,181
スーパーマリオ オデッセイ,162,19,143,2512
New スーパーマリオブラザーズU デラックス,145,13,132,1475
スーパーマリオ 3Dワールド + フューリーワールド,139,17,122,1082
リングフィット アドベンチャー,113,33,80,1522
ベヨネッタ3,104,15,88,104
ルイージマンション3,102,13,89,1244
スーパーマリオパーティ,101,13,88,1879
