タイトル,当期全世界計,国内,海外,累計全世界計
Nintendo Switch Sports,484,90,394,484
マリオストライカーズ バトルリーグ,191,13,179,191
星のカービィ ディスカバリー,188,41,147,453
マリオカート8 デラックス,148,30,118,4682
