タイトル,当期全世界計,国内,海外,累計全世界計
あつまれ どうぶつの森,1941,535.0,1405,3118
マリオカート8 デラックス,864,103.0,761,3341
スーパーマリオ 3Dコレクション,832,88.0,744,832
リングフィット アドベンチャー,595,158.0,437,868
ゼルダの伝説 ブレス オブ ザ ワイルド,404,36.0,368,2145
大乱闘スマッシュブラザーズ SPECIAL,401,74.0,327,2285
スーパーマリオパーティ,372,51.0,321,1382
New スーパーマリオブラザーズU デラックス,322,24.0,298,982
ペーパーマリオ オリガミキング,305,47.0,257,305
ポケットモンスター ソード・シールド,298,47.0,250,2035
ゼルダ無双 厄災の黙示録,284,,284,284
スーパーマリオ オデッセイ,281,16.0,265,2023
ルイージマンション3,281,15.0,266,913
世界のアソビ大全51,262,103.0,160,262
ピクミン3 デラックス,194,82.0,112,194
Splatoon2,177,66.0,111,1190
Xenoblade Definitive Edition,148,32.0,116,148
スーパーマリオメーカー2,143,24.0,119,691
マリオカート ライブ ホームサーキット,108,21.0,87,108
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,103,8.0,95,1300
