タイトル,当期全世界計,国内,海外,累計全世界計
ポケットモンスター ブリリアントダイヤモンド・シャイニングパール,1465,385,1080,1465
Pokmon LEGENDS アルセウス,1264,346,917,1264
マリオカート8 デラックス,994,116,878,4533
マリオパーティ スーパースターズ,688,133,555,688
あつまれ どうぶつの森,601,82,519,3864
大乱闘スマッシュブラザーズ SPECIAL,433,96,336,2817
ゼルダの伝説 ブレス オブ ザ ワイルド,428,55,372,2655
リングフィット アドベンチャー,398,90,308,1409
ゼルダの伝説 スカイウォードソード HD,391,45,346,391
スーパーマリオ 3Dワールド + フューリーワールド,384,58,325,943
ポケットモンスター ソード・シールド,318,50,268,2427
スーパーマリオパーティ,299,33,266,1778
メトロイド ドレッド,290,27,263,290
New スーパーマリオブラザーズU デラックス,286,18,268,1331
スーパーマリオ オデッセイ,267,19,248,2350
星のカービィ ディスカバリー,265,85,180,265
New ポケモンスナップ,240,0,240,240
マリオゴルフ スーパーラッシュ,235,31,203,235
ルイージマンション3,183,13,171,1143
ミートピア,168,39,129,168
やわらかあたま塾 いっしょにあたまのストレッチ,159,45,114,159
おすそわける メイド イン ワリオ,127,31,96,127
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,125,3,121,1453
Splatoon2,109,42,67,1330
世界のアソビ大全51,108,52,56,422
ナビつき！ つくってわかる はじめてゲームプログラミング,106,45,61,106
