タイトル,当期全世界計,国内,海外,累計全世界計
あつまれ どうぶつの森,1063,331,732,2240
マリオカート8 デラックス,197,28,169,2674
Xenoblade Definitive Edition,132,28,104,132
ゼルダの伝説 ブレス オブ ザ ワイルド,119,10,108,1860
リングフィット アドベンチャー,117,42,75,390
大乱闘スマッシュブラザーズ SPECIAL,115,21,94,1999
世界のアソビ大全51,103,44,60,103
