タイトル,当期全世界計,国内,海外,累計全世界計
スーパーマリオ オデッセイ,907,176,731,907
マリオカート8 デラックス,733,138,596,733
Splatoon2,491,221,270,491
ゼルダの伝説 ブレス オブ ザ ワイルド,394,51,343,670
ARMS,161,40,121,161
ゼノブレイド2,106,26,80,106
