タイトル,当期全世界計,国内,海外,累計全世界計
スーパーマリオギャラクシー2,510,88,422,510
Wiiスポーツ リゾート,480,11,469,2094
Wiiスポーツ,425,3,422,6771
Wii Fit Plus,257,20,237,1522
Wii Party,250,120,130,250
New スーパーマリオブラザーズ Wii,203,39,163,1673
マリオカートWii,146,28,118,2401
