タイトル,当期全世界計,国内,海外,累計全世界計
Wiiスポーツ,1219,4,1215,7566
Wiiスポーツ　リゾート,1021,38,983,2635
Ｎｅｗ　スーパーマリオブラザーズ　Ｗｉｉ,658,62,595,2128
スーパーマリオギャラクシー2,615,102,514,615
Ｗｉｉ　Ｆｉｔ　Ｐｌｕｓ,509,34,475,1774
Ｗｉｉ　Ｐａｒｔｙ,507,181,326,507
ドンキーコング　リターンズ,421,75,347,421
マリオカートＷｉｉ,395,51,344,2650
スーパーマリオコレクション　スペシャルパック,195,94,101,195
毛糸のカービィ,138,49,90,138
