タイトル,当期全世界計,国内,海外,累計全世界計
マリオカートＷｉｉ,491,30,461,3191
Ｎｅｗ　スーパーマリオブラザーズ　Ｗｉｉ,353,17,337,2547
ゼルダの伝説　スカイウォードソード,342,38,304,342
Wii Sports,240,2,239,7916
Wii Sports Resort,219,65,155,2987
Wii Party,191,48,143,768
Wii Fit Plus,175,14,161,2024
星のカービィ Wii,121,66,55,121
Wiiリモコンプラス　バラエティパック,112,16,96,112
スーパーマリオギャラクシー,109,0,109,1040
