タイトル,当期全世界計,国内,海外,累計全世界計
Wiiスポーツ,1258,127,1131,1785
はじめてのWii,661,101,560,923
スーパーマリオギャラクシー,519,84,435,519
マリオパーティ8,435,118,317,435
スーパーペーパーマリオ,216,50,166,216
Wiiでやわらかあたま塾,200,38,162,200
マリオストライカーズ チャージド,165,24,141,165
メトロイドプライム3 コラプション,114,,114,114
Link’s Crossbow Training,107,,107,107
Wii Fit,105,105,,105
ゼルダの伝説 トワイライトプリンセス,103,0,103,430
