タイトル,当期全世界計,国内,海外,累計全世界計
スーパーマリオギャラクシー2,409,70,339,409
Wiiスポーツ　リゾート,302,7,295,1916
Wiiスポーツ,273,2,271,6619
Wii　Fit　Plus,187,11,176,1452
New　スーパーマリオブラザーズ　Wii,110,31,80,1581
