タイトル,当期全世界計,国内,海外,累計全世界計
Wiiスポーツ,1498,11,1487,6069
Wiiスポーツ　リゾート,1358,176,1182,1358
Ｎｅｗ　スーパーマリオブラザーズ　Ｗｉｉ,1055,273,783,1055
Ｗｉｉ　Ｆｉｔ　Ｐｌｕｓ,1016,153,864,1016
マリオカートＷｉｉ,582,33,549,2122
Ｗｉｉ　Ｆｉｔ,434,18,416,2256
はじめてのＷｉｉ,373,8,365,2671
