タイトル,当期全世界計,国内,海外,累計全世界計
Wiiスポーツ,1629,159,1470,2156
はじめてのWii,889,122,766,1151
スーパーマリオギャラクシー,610,93,517,610
マリオパーティ８,486,126,360,486
大乱闘スマッシュブラザーズＸ,485,161,324,485
スーパーペーパーマリオ,227,50,178,228
Wiiでやわらかあたま塾,226,38,188,226
Wii Fit,185,185,0,185
マリオストライカーズ　チャージド,177,24,153,177
リンクのボウガントレーニング＋Wiiザッパー,171,,171,171
メトロイドプライム３　コラプション,131,8,123,131
ゼルダの伝説　トワイライトプリンセス,125,1,123,452
