タイトル,当期全世界計,国内,海外,累計全世界計
Wiiスポーツ,659,93,566,1186
はじめてのWii,369,66,303,632
マリオパーティ８,289,86,203,289
スーパーペーパーマリオ,174,49,125,174
Wiiでやわらかあたま塾,138,38,99,138
マリオストライカーズ　チャージド,133,24,110,133
