タイトル,当期全世界計,国内,海外,累計全世界計
マリオカートＷｉｉ,953,185,767,953
Ｗｉｉスポーツ,932,25,906,3087
Ｗｉｉ　Ｆｉｔ,692,91,601,876
はじめてのＷｉｉ,464,14,450,1615
大乱闘スマッシュブラザーズＸ,261,12,249,747
リンクのボウガントレーニング＋Ｗｉｉザッパー,105,25,80,275
