タイトル,当期全世界計,国内,海外,累計全世界計
Wii Sports,204,1,204,8164
マリオパーティ９,174,69,105,273
マリオカートＷｉｉ,157,13,144,3401
Wii Sports Resort,140,24,116,3154
Ｎｅｗ　スーパーマリオブラザーズ　Ｗｉｉ,135,12,123,2761
