タイトル,当期全世界計,国内,海外,累計全世界計
Wiiスポーツ,1330,5,1324,7676
Wiiスポーツ　リゾート,1154,45,1109,2768
Ｎｅｗ　スーパーマリオブラザーズ　Ｗｉｉ,723,65,658,2194
スーパーマリオギャラクシー 2,636,102,534,636
Wii Fit Plus,583,39,544,1849
Wii Party,577,188,389,577
ドンキーコング　リターンズ,498,89,409,498
マリオカートＷｉｉ,445,53,392,2700
スーパーマリオコレクション　スペシャルパック,224,92,132,224
毛糸のカービィ,159,50,109,159
MARIO SPORTS MIX,154,64,91,154
