タイトル,当期全世界計,国内,海外,累計全世界計
Ｗｉｉスポーツ　リゾート,697,134,563,697
Ｗｉｉスポーツ,483,8,475,5054
Ｗｉｉ　Ｆｉｔ,428,18,410,2250
マリオカートＷｉｉ,296,16,280,1836
Ｗｉｉ　Ｆｉｔ　Ｐｌｕｓ,213,48,165,213
はじめてのＷｉｉ,145,4,141,2443
