タイトル,当期全世界計,国内,海外,累計全世界計
Wiiスポーツ,1775,16,1759,6346
Wiiスポーツ　リゾート,1614,191,1423,1614
Ｎｅｗ　スーパーマリオブラザーズ　Ｗｉｉ,1470,366,1104,1470
Ｗｉｉ　Ｆｉｔ　Ｐｌｕｓ,1265,193,1073,1265
マリオカートＷｉｉ,715,43,673,2255
はじめてのＷｉｉ,440,12,428,2738
Ｗｉｉ　Ｆｉｔ,438,18,421,2261
大乱闘スマッシュブラザーズＸ,104,14,90,948
リンクのボウガントレーニング＋Ｗｉｉザッパー,104,0,104,480
