タイトル,当期全世界計,国内,海外,累計全世界計
スーパーマリオ 3Dワールド,194,59,135,194
New スーパーマリオブラザーズ U,174,62,112,389
New スーパールイージ U,151,14,138,151
Wii Party U,124,75,50,124
ゼルダの伝説 風のタクト HD,115,9,106,115
