タイトル,当期全世界計,国内,海外,累計全世界計
マリオカート8,511,105,407,511
大乱闘スマッシュブラザーズ for Wii U,365,67,298,365
スーパーマリオ 3Dワールド,192,8,185,410
Nintendo Land,159,3,156,468
