タイトル,当期全世界計,国内,海外,累計全世界計
マリオカート8,477,103,374,477
大乱闘スマッシュブラザーズ for Wii U,339,64,275,339
スーパーマリオ 3Dワールド,162,7,155,379
Nintendo Land,135,2,133,444
